id,label
Cat_0.jpg,Cat
Cat_1.jpg,Cat
Cat_10.jpg,Cat
Cat_100.jpg,Cat
Cat_1000.jpg,Cat
Cat_10000.jpg,Cat
Cat_10001.jpg,Cat
Cat_10002.jpg,Cat
Cat_10003.jpg,Cat
Cat_10004.jpg,Cat
Cat_10005.jpg,Cat
Cat_10006.jpg,Cat
Cat_10007.jpg,Cat
Cat_10008.jpg,Cat
Cat_10009.jpg,Cat
Cat_1001.jpg,Cat
Cat_10010.jpg,Cat
Cat_10011.jpg,Cat
Cat_10012.jpg,Cat
Cat_10013.jpg,Cat
Cat_10014.jpg,Cat
Cat_10015.jpg,Cat
Cat_10016.jpg,Cat
Cat_10017.jpg,Cat
Cat_10018.jpg,Cat
Cat_10019.jpg,Cat
Cat_1002.jpg,Cat
Cat_10020.jpg,Cat
Cat_10021.jpg,Cat
Cat_10022.jpg,Cat
Cat_10023.jpg,Cat
Cat_10024.jpg,Cat
Cat_10025.jpg,Cat
Cat_10026.jpg,Cat
Cat_10027.jpg,Cat
Cat_10028.jpg,Cat
Cat_10029.jpg,Cat
Cat_1003.jpg,Cat
Cat_10030.jpg,Cat
Cat_10031.jpg,Cat
Cat_10032.jpg,Cat
Cat_10033.jpg,Cat
Cat_10034.jpg,Cat
Cat_10035.jpg,Cat
Cat_10036.jpg,Cat
Cat_10037.jpg,Cat
Cat_10038.jpg,Cat
Cat_10039.jpg,Cat
Cat_1004.jpg,Cat
Cat_10040.jpg,Cat
Cat_10041.jpg,Cat
Cat_10042.jpg,Cat
Cat_10043.jpg,Cat
Cat_10044.jpg,Cat
Cat_10045.jpg,Cat
Cat_10046.jpg,Cat
Cat_10047.jpg,Cat
Cat_10048.jpg,Cat
Cat_10049.jpg,Cat
Cat_1005.jpg,Cat
Cat_10050.jpg,Cat
Cat_10051.jpg,Cat
Cat_10052.jpg,Cat
Cat_10053.jpg,Cat
Cat_10054.jpg,Cat
Cat_10055.jpg,Cat
Cat_10056.jpg,Cat
Cat_10057.jpg,Cat
Cat_10058.jpg,Cat
Cat_10059.jpg,Cat
